comparison_family,horizon,reference,comparator,metric,point_delta,ci_lower_2_5,ci_upper_97_5,unit_count,dropped_unit_count,missing_reference_unit_count,missing_comparator_unit_count,reference_unit_count,comparator_unit_count,paired_row_count,reference_row_count,comparator_row_count,reference_unpaired_row_count,comparator_unpaired_row_count,n_bootstrap,finite_bootstrap_count,seed,delta_formula,positive_delta_means,interpretation
crisis,H1,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,roc_auc,-0.003966672719272424,-0.008390047835181937,0.0013477519483182862,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors comparator, but CI crosses zero"
crisis,H1,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,pr_auc,-0.00867156470021134,-0.015886092406352696,-0.005253159775189463,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,does not support reference; percentile CI is entirely unfavorable
crisis,H1,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,brier_score,0.1580372375727149,0.1502672483066422,0.16694290897011338,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,log_loss,0.4026429788154706,0.3817886237271186,0.4247345997218567,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,top_decile_lift,-0.026946319536671037,-0.4263064488413582,0.11780291403969928,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors comparator, but CI crosses zero"
crisis,H1,frozen_calibrated_xgboost,historical_tail_threshold,roc_auc,0.0810121175379993,0.0534499533887471,0.10851428521669504,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,historical_tail_threshold,pr_auc,0.03175199810741086,0.016464211038223507,0.049840432725220006,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,historical_tail_threshold,brier_score,0.046284154642519476,0.04167004984547826,0.0511397566932755,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,historical_tail_threshold,log_loss,1.7979275966949757,1.6541992782971484,1.962115438382132,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,historical_tail_threshold,top_decile_lift,0.5658727102700918,0.0558645423088966,0.929725434968418,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,logistic_regression,roc_auc,0.049755949801323474,0.009009064684923022,0.09722218851919286,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,logistic_regression,pr_auc,0.019189496559539984,-0.0029735359393829467,0.03885199345832425,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors reference, but CI crosses zero"
crisis,H1,frozen_calibrated_xgboost,logistic_regression,brier_score,0.19015413914436066,0.16812631383792848,0.21153395312417608,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,logistic_regression,log_loss,0.47628168182463193,0.4268741443037786,0.5252230481755175,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,logistic_regression,top_decile_lift,0.5658727102700918,0.01158375900679959,0.9906097582744334,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,random_forest,roc_auc,0.029623626269748682,-0.005766242664533802,0.07117343720082647,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors reference, but CI crosses zero"
crisis,H1,frozen_calibrated_xgboost,random_forest,pr_auc,0.0024962006933230835,-0.01723082002221924,0.02021944112439866,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors reference, but CI crosses zero"
crisis,H1,frozen_calibrated_xgboost,random_forest,brier_score,0.06361114643399254,0.05651535885187813,0.07102785972955207,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,random_forest,log_loss,0.1894550762701397,0.17020876031483276,0.208592902973013,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,random_forest,top_decile_lift,0.24251687583003956,-0.23185752368306195,0.5662395506637633,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors reference, but CI crosses zero"
crisis,H1,frozen_calibrated_xgboost,gradient_boosting,roc_auc,0.06411662221394887,0.024437833797226586,0.10356294846688947,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,gradient_boosting,pr_auc,0.031130293779735245,0.011028717632460097,0.0514232893725365,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,gradient_boosting,brier_score,0.037129798238908066,0.019638584700593355,0.06018995722963881,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,gradient_boosting,log_loss,0.11558637841978237,0.06200922846819425,0.19007021400404467,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H1,frozen_calibrated_xgboost,gradient_boosting,top_decile_lift,1.0239601423934996,0.4484944530587143,1.4188974682591606,19,0,0,0,19,19,6858,6858,6858,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H5,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,roc_auc,-0.01075946598462818,-0.025021132049988907,0.0032576960464201733,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors comparator, but CI crosses zero"
crisis,H5,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,pr_auc,-0.008328198164703413,-0.016542102611640925,-0.0037037018576366694,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,does not support reference; percentile CI is entirely unfavorable
crisis,H5,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,brier_score,0.16052111643882921,0.15134001314990497,0.1688526736169686,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H5,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,log_loss,0.40984243576618296,0.38757906914674206,0.43020619178819913,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,comparator - reference (positive means reference is lower/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H5,frozen_calibrated_xgboost,frozen_raw_xgboost_without_calibration,top_decile_lift,0.18108310147607187,-0.7131732857886034,0.32049566571471205,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,"directionally favors reference, but CI crosses zero"
crisis,H5,frozen_calibrated_xgboost,historical_tail_threshold,roc_auc,0.0958737502629311,0.0678390301485136,0.1235453907473885,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
crisis,H5,frozen_calibrated_xgboost,historical_tail_threshold,pr_auc,0.015090698178318887,0.009804401012068854,0.021665099563433307,19,0,0,0,19,19,6823,6823,6823,0,0,500,500,20260518,reference - comparator (positive means reference is higher/better),reference better,supports reference; percentile CI is entirely favorable
